,symbol,company,market_cap,revenue,volume
0,NVDA,NVIDIA Corporation,"3,057.78B",79.77B,"277,422,442"
1,TSM,Taiwan Semiconductor Manufacturing Company Limited,770.32B,70.20B,"10,653,356"
2,AVGO,Broadcom Inc.,763.77B,42.62B,"4,671,400"
3,AMD,"Advanced Micro Devices, Inc.",254.88B,22.80B,"49,435,516"
4,QCOM,QUALCOMM Incorporated,223.23B,36.41B,"6,677,775"
5,TXN,Texas Instruments Incorporated,177.18B,16.80B,"2,871,732"
6,ARM,Arm Holdings plc,166.43B,3.23B,"8,247,338"
7,MU,"Micron Technology, Inc.",145.83B,21.37B,"24,665,126"
8,INTC,Intel Corporation,131.29B,55.24B,"31,234,113"
9,ADI,"Analog Devices, Inc.",111.74B,10.46B,"2,157,127"
10,NXPI,NXP Semiconductors N.V.,67.93B,13.28B,"1,710,944"
11,MRVL,"Marvell Technology, Inc.",61.46B,5.35B,"7,151,520"
12,MCHP,Microchip Technology Incorporated,49.17B,7.63B,"8,316,433"
13,MPWR,"Monolithic Power Systems, Inc.",39.88B,1.83B,"548,872"
14,STM,ST Microelectronics,35.02B,16.50B,"2,074,463"
15,ON,ON Semiconductor Corporation,29.76B,8.16B,"4,206,997"
16,GFS,GLOBALFOUNDRIES Inc.,27.92B,7.10B,"1,078,921"
17,ASX,"ASE Technology Holding Co., Ltd.",24.47B,18.25B,"3,204,396"
18,UMC,United Microelectronics Corporation,21.98B,-,"9,156,949"
19,SWKS,"Skyworks Solutions, Inc.",17.07B,4.54B,"1,966,038"
20,QRVO,"Qorvo, Inc.",11.27B,3.77B,"1,005,818"
21,ALAB,"Astera Labs, Inc.",8.95B,163.39M,"1,890,333"
22,MTSI,"MACOM Technology Solutions Holdings, Inc.",7.96B,637.28M,"715,525"
23,LSCC,Lattice Semiconductor Corporation,7.94B,693.66M,"1,907,996"
24,CRUS,"Cirrus Logic, Inc.",6.80B,1.79B,"396,432"
25,RMBS,Rambus Inc.,6.25B,465.23M,"1,053,111"
26,ALGM,"Allegro MicroSystems, Inc.",5.41B,1.05B,"745,767"
27,CRDO,Credo Technology Group Holding Ltd,5.16B,192.97M,"1,728,687"
28,FORM,"FormFactor, Inc.",4.70B,664.38M,"591,226"
29,TSEM,Tower Semiconductor Ltd.,4.41B,1.39B,"279,860"
30,POWI,"Power Integrations, Inc.",3.96B,429.93M,"380,828"
31,SLAB,Silicon Laboratories Inc.,3.49B,641.85M,"300,464"
32,SYNA,Synaptics Incorporated,3.40B,939.30M,"196,289"
33,DIOD,Diodes Incorporated,3.24B,1.50B,"214,000"
34,VSH,"Vishay Intertechnology, Inc.",2.99B,3.28B,"775,758"
35,WOLF,"Wolfspeed, Inc.",2.84B,842.30M,"1,990,914"
36,SITM,SiTime Corporation,2.80B,138.67M,"140,412"
37,SIMO,Silicon Motion Technology Corporation,2.67B,639.14M,"185,746"
38,SMTC,Semtech Corporation,2.04B,838.32M,"1,512,127"
39,MXL,"MaxLinear, Inc.",1.77B,540.09M,"757,305"
40,HIMX,"Himax Technologies, Inc.",1.35B,908.77M,"1,415,454"
41,SGH,"SMART Global Holdings, Inc.",1.17B,1.11B,"651,470"
42,AOSL,Alpha and Omega Semiconductor Limited,1.10B,657.50M,"306,532"
43,IMOS,ChipMOS TECHNOLOGIES INC.,942.87M,694.96M,"10,149"
44,NVTS,Navitas Semiconductor Corporation,715.92M,89.27M,"1,695,122"
45,LASR,"nLIGHT, Inc.",521.31M,200.36M,"468,042"
46,ICG,Intchains Group Limited,513.08M,80.47M,"47,354"
47,CEVA,"CEVA, Inc.",436.27M,96.48M,"119,549"
48,SKYT,"SkyWater Technology, Inc.",358.44M,300.22M,"221,156"
49,NVEC,NVE Corporation,349.48M,29.80M,"41,292"
50,VLN,Valens Semiconductor Ltd.,337.73M,71.84M,"172,090"
51,AIP,"Arteris, Inc.",273.20M,53.46M,"214,131"
52,GCTS,"GCT Semiconductor Holding, Inc.",240.01M,19.29M,"141,841"
53,MX,Magnachip Semiconductor Corporation,182.54M,222.11M,"291,807"
54,QUIK,QuickLogic Corporation,149.00M,23.07M,"182,646"
55,POET,POET Technologies Inc.,133.48M,293.65K,"11,304,623"
56,MRAM,"Everspin Technologies, Inc.",133.00M,63.35M,"144,799"
57,GSIT,"GSI Technology, Inc.",68.45M,21.77M,"76,905"
58,PXLW,"Pixelworks, Inc.",55.70M,65.77M,"198,124"
59,MOBX,"Mobix Labs, Inc.",47.03M,2.65M,"4,741"
60,SQNS,Sequans Communications S.A.,31.98M,27.74M,"262,732"
61,NA,Nano Labs Ltd,27.52M,78.34M,"47,123"
62,WKEY,WISeKey International Holding AG,20.38M,30.92M,"31,726"
63,LAES,SEALSQ Corp,18.71M,30.06M,"214,616"
64,WISA,"WiSA Technologies, Inc.",13.78M,1.87M,"352,418"
65,EMKR,EMCORE Corporation,9.59M,89.70M,"2,156,287"
66,LEDS,SemiLEDs Corporation,9.26M,5.67M,"13,224"
67,PRSO,Peraso Inc.,3.62M,11.53M,"25,271"
